window,capture_start,capture_stop,usable_start,usable_stop,timestamp,center_frequency,noise_floor,average_power,minimum_power,peak_power,peak_frequency,dynamic_range,bin_width,fft_size,sample_rate,gain
31,69834492.49779347,72234492.49779347,70074492.49779347,71994492.49779347,2026-07-09T22:54:34.674165+00:00,71034492.49779347,27.89283830097356,27.11210502049343,-18.57634663935166,55.97399266740189,71999971.01341847,28.08115436642833,146.484375,16384,2400000.0,0.0
32,71370308.91438659,73770308.91438659,71610308.91438659,73530308.91438659,2026-07-09T22:54:34.731067+00:00,72570308.91438659,28.549247749898313,27.688525693874908,-19.934965516110033,55.92947750559334,72000045.24251159,27.380229755695026,146.484375,16384,2400000.0,0.0
33,72906125.3309797,75306125.3309797,73146125.3309797,75066125.3309797,2026-07-09T22:54:34.792226+00:00,74106125.3309797,29.754941125084926,29.01032251504131,-8.398439502748932,43.35020389178293,74850558.9247297,13.595262766698006,146.484375,16384,2400000.0,0.0
34,74441941.74757281,76841941.74757281,74681941.74757281,76601941.74757281,2026-07-09T22:54:34.849312+00:00,75641941.74757281,30.171761938131723,29.3701426922148,-6.448976028554753,48.345808023954,76800047.21632281,18.174046085822276,146.484375,16384,2400000.0,0.0
35,75977758.16416593,78377758.16416593,76217758.16416593,78137758.16416593,2026-07-09T22:54:34.906253+00:00,77177758.16416593,30.087609605389524,29.339038252490745,-18.880833450259928,52.57862023017662,76799974.96104093,22.491010624787094,146.484375,16384,2400000.0,0.0
36,77513574.58075905,79913574.58075905,77753574.58075905,79673574.58075905,2026-07-09T22:54:34.963448+00:00,78713574.58075905,30.334567638165865,29.591383868123085,-11.271475147080238,45.08281071919807,78552881.22138405,14.748243081032207,146.484375,16384,2400000.0,0.0
37,79049390.99735215,81449390.99735215,79289390.99735215,81209390.99735215,2026-07-09T22:54:35.019942+00:00,80249390.99735215,29.155412621638895,28.36427447855062,-10.857677912131027,43.023415184021026,79619947.63797715,13.86800256238213,146.484375,16384,2400000.0,0.0
38,80585207.41394527,82985207.41394527,80825207.41394527,82745207.41394527,2026-07-09T22:54:35.077286+00:00,81785207.41394527,27.286695840367727,26.433705762938917,-12.981533746071818,48.955775848199536,82309474.99207027,21.66908000783181,146.484375,16384,2400000.0,0.0
39,82121023.83053839,84521023.83053839,82361023.83053839,84281023.83053839,2026-07-09T22:54:35.134588+00:00,83321023.83053839,26.72718387730336,25.849412943097946,-9.097520118828365,45.99989822993364,82309549.22116339,19.27271435263028,146.484375,16384,2400000.0,0.0
40,83656840.2471315,86056840.2471315,83896840.2471315,85816840.2471315,2026-07-09T22:54:35.191697+00:00,84856840.2471315,25.91396241863258,25.093614160671404,-13.656328671690417,40.682114771535744,85875932.0440065,14.768152352903165,146.484375,16384,2400000.0,0.0
