Frequency,Service,System,Site,License,County,State
151.775,IG,American Cast Iron Pipe,-,-,Jefferson,AL
151.865,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
151.91,IG,Hm Southeast Cement Llc,-,-,Jefferson,AL
151.955,IG,Abc Coke Inc,-,-,Jefferson,AL
152.2775,IG,Abc Coke Inc,-,-,Jefferson,AL
152.285,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
152.3,IG,Walter Coke - Operations [Expired 2/22],-,-,Jefferson,AL
152.3075,IG,Gracom Solutions Llc,-,-,Jefferson,AL
152.3225,IG,Survival Flight Inc.,-,-,Jefferson,AL
152.345,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
152.3675,YG,Abc Coke Inc,-,-,Jefferson,AL
152.435,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
152.465,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
152.87,IG,Hardin Jr.,-,-,Jefferson,AL
152.8775,IG,Survival Flight Inc.,-,-,Jefferson,AL
152.93,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
152.96,IG,Hm Southeast Cement Llc,-,-,Jefferson,AL
152.9675,IG,Gracom Solutions Llc,-,-,Jefferson,AL
152.975,IG,Abc Coke Inc,-,-,Jefferson,AL
152.9825,IG,Survival Flight Inc.,-,-,Jefferson,AL
153.005,IG,Peabody Southeast Mining Llc,-,-,Jefferson,AL
153.05,IG,Walter Coke - Operations [Expired 2/22],-,-,Jefferson,AL
153.155,IG,American Cast Iron Pipe,-,-,Jefferson,AL
153.185,IG,Spire - Alabama,-,-,Jefferson,AL
153.23,IG,Hardin Jr.,-,-,Jefferson,AL
153.26,IG,Walter Coke - Operations [Expired 2/22],-,-,Jefferson,AL
153.29,IG,Watco Alabama Port Services,-,-,Jefferson,AL
153.305,IG,Walter Coke - Operations [Expired 2/22],-,-,Jefferson,AL
153.35,YG,Abc Coke Inc,-,-,Jefferson,AL
153.365,IG,Spire - Alabama,-,-,Jefferson,AL
153.44,IG,Watco Alabama Port Services,-,-,Jefferson,AL
153.515,IG,Spire - Alabama,-,-,Jefferson,AL
153.545,IG,Peabody Southeast Mining Llc,-,-,Jefferson,AL
153.62,IG,Watco Alabama Port Services,-,-,Jefferson,AL
153.635,IG,Spire - Alabama,-,-,Jefferson,AL
154.31,PW,West Jefferson,-,-,Jefferson,AL
154.45625,IG,Pgp Operating Llc,-,-,Jefferson,AL
154.46375,IG,Spire - Alabama,-,-,Jefferson,AL
154.47875,IG,Pgp Operating Llc,-,-,Jefferson,AL
154.4825,IG,Vulcan Materials Inc,-,-,Shelby,AL
154.4975,IG,Hm Southeast Cement Llc,-,-,Jefferson,AL
154.505,IG,Vulcan Materials Inc,-,-,Jefferson,AL
154.515,IG,Watco Alabama Port Services,-,-,Jefferson,AL
155.355,PW,Air Methods,-,-,Jefferson,AL
156.45,MC,ALABAMA POWER COMPANY,-,-,Jefferson,AL
156.5,MC,ALABAMA POWER COMPANY,-,-,Jefferson,AL
156.8,MC,ALABAMA POWER COMPANY,-,-,Jefferson,AL
157.5375,YG,Abc Coke Inc,-,-,Jefferson,AL
157.545,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
157.5825,IG,Survival Flight Inc.,-,-,Jefferson,AL
157.605,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
157.6275,YG,Abc Coke Inc,-,-,Jefferson,AL
157.695,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
157.725,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
158.16,IG,Spire - Alabama,-,-,Jefferson,AL
158.175,IG,Peabody Southeast Mining Llc,-,-,Jefferson,AL
158.205,IG,Spire - Alabama,-,-,Jefferson,AL
158.235,IG,Peabody Southeast Mining Llc,-,-,Jefferson,AL
158.25,IG,Spire - Alabama,-,-,Jefferson,AL
158.415,IG,Watco Alabama Port Services,-,-,Jefferson,AL
159.225,PW,West Jefferson,-,-,Jefferson,AL
159.285,PW,Alabama Forestry Commission,-,-,Jefferson,AL
159.315,PW,Alabama Forestry Commission,-,-,Jefferson,AL
159.3225,PW,Alabama Forestry Commission,-,-,Jefferson,AL
159.3975,PW,Alabama Forestry Commission,-,-,Jefferson,AL
159.405,PW,Alabama Forestry Commission,-,-,Jefferson,AL
159.42,PW,Alabama Forestry Commission,-,-,Jefferson,AL
159.465,PW,Alabama Forestry Commission,-,-,Jefferson,AL
159.51,IG,Ttx,-,-,Jefferson,AL
159.555,YG,Abc Coke Inc,-,-,Jefferson,AL
159.645,IG,Hm Southeast Cement Llc,-,-,Jefferson,AL
159.735,YG,Abc Coke Inc,-,-,Jefferson,AL
159.7425,IG,Survival Flight Inc.,-,-,Jefferson,AL
159.75,YG,Abc Coke Inc,-,-,Jefferson,AL
159.81,IK,Young,-,-,Jefferson,AL
159.825,YG,Abc Coke Inc,-,-,Jefferson,AL
159.885,IG,Spire - Alabama,-,-,Jefferson,AL
159.9075,IG,Survival Flight Inc.,-,-,Jefferson,AL
159.93,IG,Vulcan Materials Inc,-,-,Jefferson,AL
159.99,IG,Vulcan Materials Inc,-,-,Jefferson,AL
160.0275,IG,Hm Southeast Cement Llc,-,-,Jefferson,AL
160.095,IG,Hm Southeast Cement Llc,-,-,Jefferson,AL
160.14,IG,Alabama Warrior Railway,-,-,Jefferson,AL
160.1475,IG,Hm Southeast Cement Llc,-,-,Jefferson,AL
160.155,YG,Abc Coke Inc,-,-,Jefferson,AL
160.2,IG,Alabama Warrior Railway Llc,-,-,Jefferson,AL
160.215,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.23,IG,Csx Transportation Inc,-,-,Mobile,AL
160.245,IG,Alabama Great Southern Railroad,-,-,Jefferson,AL
160.26,IG,Csx Transportation Inc,-,-,Mobile,AL
160.2675,IG,BNSF Railway Co.,-,-,Jefferson,AL
160.275,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.29,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
160.305,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.335,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
160.35,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.365,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
160.38,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.395,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.41,IG,Csx Transportation Inc,-,-,Jefferson,AL
160.425,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
