Frequency,Service,System,Site,License,County,State
455.6125,RP,"RADIO LICENSE HOLDING CBC, LLC",-,-,Jefferson,AL
455.98,RP,Ihm Licenses Llc,-,-,Jefferson,AL
455.99,RP,The Board Of Trustees Of The University Of Alabama At Birmingham,-,-,Jefferson,AL
456.025,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
456.0375,IG,Kamstrup Water Metering Llc,-,-,Jefferson,AL
456.0875,YG,Cmc Steel Alabama,-,-,Jefferson,AL
456.1125,YG,Cmc Steel Alabama,-,-,Jefferson,AL
456.2125,YG,Cmc Steel Alabama,-,-,Jefferson,AL
456.225,IG,Bear Communications Inc,-,-,Jefferson,AL
456.2375,IG,Diamond Rubber Products Company Inc,-,-,Jefferson,AL
456.2625,IG,Spire - Alabama,-,-,Jefferson,AL
456.275,IG,Bear Communications Inc,-,-,Jefferson,AL
456.2875,IG,Hoar Construction,-,-,Jefferson,AL
456.325,IG,Metal Services,-,-,Jefferson,AL
456.35,IG,Bear Communications Inc,-,-,Jefferson,AL
456.3875,IG,Hoar Construction,-,-,Jefferson,AL
456.4,IG,Mountain Brook Club,-,-,Jefferson,AL
456.4125,IG,Alabama Equipment Holdings Llc,-,-,Jefferson,AL
456.5,YG,Mobile Communications America Inc,-,-,Jefferson,AL
456.525,IG,Town Of Mulga,-,-,Jefferson,AL
456.5625,IG,The Summit: Maintenance - The Summit: Maintenance,-,-,Jefferson,AL
456.6,IG,Bear Communications Inc,-,-,Jefferson,AL
456.6125,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
456.6625,IG,Hoar Construction,-,-,Jefferson,AL
456.7,YG,American Cast Iron Pipe Company,-,-,Jefferson,AL
456.7125,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
456.725,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
456.7375,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
456.7875,IG,Amerex Corporation,-,-,Jefferson,AL
456.8,IG,Omi Refractories Llc Dba Bisco Refractories,-,-,Jefferson,AL
456.8125,IG,Omi Refractories Llc Dba Bisco Refractories,-,-,Jefferson,AL
456.825,YG,Bear Communications Inc,-,-,Jefferson,AL
456.85,IG,American Cast Iron Pipe,-,-,Jefferson,AL
456.8625,IG,Amerex Corporation,-,-,Jefferson,AL
456.875,YG,Mobile Communications America Inc,-,-,Jefferson,AL
456.8875,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
456.9,YG,Bear Communications Inc,-,-,Jefferson,AL
456.925,IG,Alabama Splash Adventure,-,-,Jefferson,AL
456.9375,YG,Kamtek,-,-,Jefferson,AL
456.9625,IG,Crimson Oak Grove Resources Llc,-,-,Jefferson,AL
456.9875,IG,Mountain Brook Club,-,-,Jefferson,AL
457,IG,Hoar Construction,-,-,Jefferson,AL
457.0125,IG,Amerex Corporation,-,-,Jefferson,AL
457.075,IG,Glenwood Inc,-,-,Jefferson,AL
457.1,IG,Mountain Brook Club,-,-,Jefferson,AL
457.1125,IG,American Cast Iron Pipe,-,-,Jefferson,AL
457.15,YG,Bear Communications Inc,-,-,Jefferson,AL
457.2125,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
457.225,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
457.2375,IG,At&T Services Inc,-,-,Jefferson,AL
457.25,YG,American Cast Iron Pipe Company,-,-,Jefferson,AL
457.2625,YG,Mobile Communications America Inc,-,-,Jefferson,AL
457.3125,IG,The Summit: Security - The Summit: Security,-,-,Jefferson,AL
457.3375,IG,Alabama Splash Adventure,-,-,Jefferson,AL
457.35,YG,Mobile Communications America Inc,-,-,Jefferson,AL
457.375,IG,Csx Transportation Inc,-,-,Jefferson,AL
457.4,YG,Bear Communications Inc,-,-,Jefferson,AL
457.425,IG,Csx Transportation Inc,-,-,Jefferson,AL
457.45,IG,North Plaza Al,-,-,Jefferson,AL
457.4625,YG,Mobile Communications America Inc,-,-,Jefferson,AL
457.4875,IG,The Country Club Of Birmingham,-,-,Jefferson,AL
457.5,IG,Alabama Power Company,-,-,Jefferson,AL
457.525,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
457.55,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
457.575,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
457.6,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
457.6875,IG,Alabama Equipment Holdings Llc,-,-,Jefferson,AL
457.725,IG,Bear Communications Inc,-,-,Jefferson,AL
457.7375,YG,Mobile Communications America Inc,-,-,Jefferson,AL
457.75,IG,Blue Cross Blue Shield Of Alabama,-,-,Jefferson,AL
457.7625,IG,American Cast Iron Pipe,-,-,Jefferson,AL
457.775,IG,Csx Transportation Inc,-,-,Jefferson,AL
457.8125,IG,Mcwane Science Center,-,-,Jefferson,AL
457.85,IG,Omi Refractories Llc Dba Bisco Refractories,-,-,Jefferson,AL
457.875,IG,Csx Transportation Inc,-,-,Jefferson,AL
457.9,IG,Csx Transportation Inc,-,-,Jefferson,AL
457.9125,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
457.925,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
457.9375,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
457.95,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
457.9625,IG,Bnsf Railway Co.,-,-,Jefferson,AL
457.975,IG,Mountain Brook Club,-,-,Jefferson,AL
457.9875,IG,Mcwane Science Center,-,-,Jefferson,AL
458,IG,Transload Llc,-,-,Jefferson,AL
458.0125,YG,Mobile Communications America Inc,-,-,Jefferson,AL
458.375,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
458.4125,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
458.575,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
458.775,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
458.85,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
458.925,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
460.1875,PW,BJCC - Operations,-,-,Jefferson,AL
460.25,PW,BJCC - Operations,-,-,Jefferson,AL
460.5,YW,BJCC - Housekeeping,-,-,Jefferson,AL
460.575,IG,BJCC - Guest Services/Shuttle,-,-,Jefferson,AL
460.5875,IG,BJCC - Operations,-,-,Jefferson,AL
460.6625,IG,United Ground Express Inc,-,-,Jefferson,AL
460.7,IG,American Airlines Group Inc,-,-,Jefferson,AL
460.75,IG,Southwest Airlines Co,-,-,Jefferson,AL
460.825,IG,Delta Air Lines Inc.,-,-,Jefferson,AL
460.85,IG,Southwest Airlines Co,-,-,Jefferson,AL
461.05,IG,Nucor Steel Birmingham Inc,-,-,Jefferson,AL
461.1,IG,Hoover Mall Limited Llc Dba Riverchase Galleria,-,-,Jefferson,AL
461.125,YG,Publix Super Markets Inc,-,-,Jefferson,AL
461.15,YG,Jm Smucker,-,-,Jefferson,AL
461.2,IG,Associated Grocers Of The South Inc,-,-,Jefferson,AL
461.3,IG,Mcwane Science Center,-,-,Jefferson,AL
461.375,YG,Kamtek,-,-,Jefferson,AL
461.425,IG,Samford University,-,-,Jefferson,AL
461.4375,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
461.4625,YG,Mobile Communications America Inc,-,-,Jefferson,AL
461.4875,YG,Jm Smucker,-,-,Jefferson,AL
461.5125,YG,Mobile Communications America Inc,-,-,Jefferson,AL
461.525,IG,Publix Super Markets Inc,-,-,Jefferson,AL
461.575,IG,Southland Tube,-,-,Jefferson,AL
461.6,IG,Sheraton Civic Center Hotel Birmingham,-,-,Jefferson,AL
461.6125,YG,Southland Tube,-,-,Jefferson,AL
461.625,YG,Bear Communications Inc,-,-,Jefferson,AL
461.6375,IG,St Vincents East,-,-,Jefferson,AL
461.6625,IG,Precoat Metals,-,-,Jefferson,AL
461.675,YG,Kamtek,-,-,Jefferson,AL
461.725,YG,Publix Super Markets Inc,-,-,Jefferson,AL
461.7375,YG,Cmc Steel Alabama,-,-,Jefferson,AL
461.75,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
461.775,IG,Federal Express Corporation,-,-,Jefferson,AL
461.7875,YG,Cmc Steel Alabama,-,-,Jefferson,AL
461.8,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
461.8125,YG,Alabama Power Company,-,-,Jefferson,AL
461.825,YG,Jm Smucker,-,-,Jefferson,AL
461.875,IG,Baptist Health Brookwood Hospital,-,-,Jefferson,AL
461.925,YG,Publix Super Markets Inc,-,-,Jefferson,AL
461.9625,IG,Precoat Metals,-,-,Jefferson,AL
461.975,YG,Bear Communications Inc,-,-,Jefferson,AL
462,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
462.025,YG,Mobile Communications America Inc,-,-,Jefferson,AL
462.0625,YG,Southland Tube,-,-,Jefferson,AL
462.0875,IG,St Vincents East,-,-,Jefferson,AL
462.1,IG,Piggly Wiggly Alabama Distribution Co.,-,-,Jefferson,AL
462.1125,IG,Evonik Corporation Birmingham Labs,-,-,Jefferson,AL
462.125,YG,Kamtek,-,-,Jefferson,AL
462.15,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
462.1625,IG,Hoover Mall Limited Llc Dba Riverchase Galleria,-,-,Jefferson,AL
462.2,IG,Oneal Steel,-,-,Jefferson,AL
462.2125,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
462.2375,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
462.2625,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
462.2875,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
462.3,IG,Oneal Steel,-,-,Jefferson,AL
462.3125,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
462.325,IG,Transload Llc,-,-,Jefferson,AL
462.3375,IG,Alabama Equipment Holdings Llc,-,-,Jefferson,AL
462.35,YG,Bear Communications Inc,-,-,Jefferson,AL
462.375,IG,Vulcan Industrial Contractors Inc,-,-,Jefferson,AL
462.425,IG,American Cast Iron Pipe,-,-,Jefferson,AL
462.4625,IG,The Country Club Of Birmingham,-,-,Jefferson,AL
462.475,IG,US Pipe and Foundry - Operations [Expired 5/12],-,-,Jefferson,AL
462.4875,IG,The Country Club Of Birmingham,-,-,Jefferson,AL
462.5125,IG,The Country Club Of Birmingham,-,-,Jefferson,AL
462.6125,IG,Buc-ee's - Buc-ee's,-,-,Jefferson,AL
462.625,IG,Southeastern Salvage - Southeastern Salvage,-,-,Jefferson,AL
462.75,IG,Brasfield & Gorrie,-,-,Jefferson,AL
462.825,IG,Amazon.Com Inc,-,-,Jefferson,AL
462.85,IG,Steward Machine Company Inc,-,-,Jefferson,AL
462.9,IG,Alabama School Of Fine Arts,-,-,Jefferson,AL
462.925,IG,Csx Transportation Inc,-,-,Montgomery,AL
463.2,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
463.2125,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
463.2375,IG,Country Club Of Birmingham,-,-,Jefferson,AL
463.2875,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
463.3,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
463.3125,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
463.35,YG,Alabama Power Company,-,-,Jefferson,AL
463.375,IG,Precoat Metals,-,-,Jefferson,AL
463.3875,IG,St Vincents East,-,-,Jefferson,AL
463.4,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
463.4125,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
463.475,IG,Samford University,-,-,Jefferson,AL
463.4875,IG,Shades Mt Baptist Church,-,-,Jefferson,AL
463.5,IG,Hunter Street Baptist Church,-,-,Jefferson,AL
463.5125,IG,Urban Oil And Gas Group Llc,-,-,Jefferson,AL
463.525,IG,Crimson Oak Grove Resources Llc,-,-,Jefferson,AL
463.5875,IG,Southern Progress Corporation,-,-,Jefferson,AL
463.6,IG,Mccloy Implement,-,-,Jefferson,AL
463.6125,IG,Precoat Metals,-,-,Jefferson,AL
463.625,YG,Bear Communications Inc,-,-,Jefferson,AL
463.65,IG,Miles College,-,-,Jefferson,AL
463.6875,YG,Cmc Steel Alabama,-,-,Jefferson,AL
463.7,IG,Alabama Splash Adventure,-,-,Jefferson,AL
463.725,IG,Sheraton Civic Center Hotel Birmingham,-,-,Jefferson,AL
463.75,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
463.775,IG,At&T Enterprises Llc,-,-,Jefferson,AL
463.8,IG,Reeve Electric Co,-,-,Jefferson,AL
463.8125,IG,Dolgencorp Llc,-,-,Jefferson,AL
463.825,IG,Birmingham Zoo - Zoo Operations,-,-,Jefferson,AL
463.8375,IG,Amazon.Com - Bhm1,-,-,Jefferson,AL
463.85,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
463.875,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
463.8875,YG,Cmc Steel Alabama,-,-,Jefferson,AL
463.9125,IG,Shades Mt Baptist Church,-,-,Jefferson,AL
463.925,IG,Hunter Street Baptist Church,-,-,Jefferson,AL
463.9375,YG,Cmc Steel Alabama,-,-,Jefferson,AL
463.9625,IG,Alabama Power Company,-,-,Jefferson,AL
464.0125,IG,Dean Foods,-,-,Jefferson,AL
464.025,IG,BMC Princeton Security (Ch1) [Expired 5/16] - BMC Princeton Security (Ch1) [Expired 5/16],-,-,Jefferson,AL
464.05,YG,Kamtek,-,-,Jefferson,AL
464.075,IG,Cmc Steel Alabama,-,-,Jefferson,AL
464.0875,IG,Cache Valley Electric,-,-,Jefferson,AL
464.1125,IG,The Altamont School,-,-,Jefferson,AL
464.125,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
464.175,IG,Coca Cola Bottling Company,-,-,Jefferson,AL
464.2,IG,Renaissance Ross Bridge - Banquets/Catering/Room Service - Renaissance Ross Bridge - Banquets/Catering/Room Service,-,-,Jefferson,AL
464.2125,IG,Alabama Equipment Holdings Llc,-,-,Jefferson,AL
464.25,IG,Evonik Corporation Birmingham Labs,-,-,Jefferson,AL
464.325,IG,Valley Creek Wwtp,-,-,Jefferson,AL
464.3625,IG,Hoar Construction,-,-,Jefferson,AL
464.3875,IG,Southwest Airlines Co,-,-,Jefferson,AL
464.4,IG,Blox Llc,-,-,Jefferson,AL
464.425,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
464.475,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
464.5,IG,Omi Refractories Llc Dba Bisco Refractories,-,-,Jefferson,AL
464.525,IG,Coca Cola Bottling Company,-,-,Jefferson,AL
464.575,IG,Coca Cola Bottling Company,-,-,Jefferson,AL
464.6375,YG,Bear Communications Inc,-,-,Jefferson,AL
464.65,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
464.6875,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
464.725,IG,Dolgencorp Llc,-,-,Jefferson,AL
464.75,IG,Federal Express Corporation,-,-,Jefferson,AL
464.7625,IG,St Vincents East,-,-,Jefferson,AL
464.775,IG,University of Alabama H S F [Expired 9/22] - University of Alabama H S F [Expired 9/22],-,-,Jefferson,AL
464.8,IG,Sheraton Civic Center Hotel Birmingham,-,-,Jefferson,AL
464.825,IG,Barber Motorsports Park Llc,-,-,Jefferson,AL
464.875,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
464.8875,IG,Southern Progress Corporation,-,-,Jefferson,AL
464.9125,IG,Southern Progress Corporation,-,-,Jefferson,AL
464.95,YG,Bear Communications Inc,-,-,Jefferson,AL
464.9625,IG,Glenwood Inc,-,-,Jefferson,AL
464.975,IG,Glenwood Inc,-,-,Jefferson,AL
465.6625,IG,United Ground Express Inc,-,-,Jefferson,AL
465.7,IG,American Airlines Group Inc,-,-,Jefferson,AL
465.75,IG,Southwest Airlines Co,-,-,Jefferson,AL
465.825,IG,Delta Air Lines Inc.,-,-,Jefferson,AL
465.85,IG,Southwest Airlines Co,-,-,Jefferson,AL
466.05,IG,Nucor Steel Birmingham Inc,-,-,Jefferson,AL
466.0875,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
466.1,IG,Hoover Mall Limited Llc Dba Riverchase Galleria,-,-,Jefferson,AL
466.125,YG,Publix Super Markets Inc,-,-,Jefferson,AL
466.15,YG,Jm Smucker,-,-,Jefferson,AL
466.1875,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
466.2,IG,Associated Grocers Of The South Inc,-,-,Jefferson,AL
466.3,IG,Mcwane Science Center,-,-,Jefferson,AL
466.325,YG,Publix Super Markets Inc,-,-,Jefferson,AL
466.3625,IG,US Pipe and Foundry - Operations,-,-,Jefferson,AL
466.425,IG,Samford University,-,-,Jefferson,AL
466.4375,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
466.4875,YG,Jm Smucker,-,-,Jefferson,AL
466.525,IG,Mountain Brook Club,-,-,Jefferson,AL
466.575,YG,Southland Tube,-,-,Jefferson,AL
466.6,IG,Sheraton Civic Center Hotel Birmingham,-,-,Jefferson,AL
466.6125,YG,Cmc Steel Alabama,-,-,Jefferson,AL
466.625,YG,Bear Communications Inc,-,-,Jefferson,AL
466.6625,IG,Precoat Metals,-,-,Jefferson,AL
466.675,YG,Kamtek,-,-,Jefferson,AL
466.7,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
466.725,YG,Publix Super Markets Inc,-,-,Jefferson,AL
466.75,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
466.775,IG,Federal Express Corporation,-,-,Jefferson,AL
466.8125,YG,Alabama Power Company,-,-,Jefferson,AL
466.825,YG,Jm Smucker,-,-,Jefferson,AL
466.8375,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
466.875,IG,Baptist Health Brookwood Hospital,-,-,Jefferson,AL
466.925,YG,Publix Super Markets Inc,-,-,Jefferson,AL
466.9625,IG,Precoat Metals,-,-,Jefferson,AL
466.975,YG,Bear Communications Inc,-,-,Jefferson,AL
466.9875,IG,The Country Club Of Birmingham,-,-,Jefferson,AL
467.025,YG,Mobile Communications America Inc,-,-,Jefferson,AL
467.0625,YG,Southland Tube,-,-,Jefferson,AL
467.1,IG,Piggly Wiggly Alabama Distribution Co.,-,-,Jefferson,AL
467.1125,IG,Evonik Corporation Birmingham Labs,-,-,Jefferson,AL
467.1375,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
467.1625,IG,Hoover Mall Limited Llc Dba Riverchase Galleria,-,-,Jefferson,AL
467.175,IG,The Altamont School,-,-,Jefferson,AL
467.2,IG,Oneal Steel,-,-,Jefferson,AL
467.2125,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
467.2375,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
467.2625,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
467.2875,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
467.3125,IG,Lehigh Portland Cement Company,-,-,Jefferson,AL
467.325,IG,Transload Llc,-,-,Jefferson,AL
467.35,YG,Bear Communications Inc,-,-,Jefferson,AL
467.375,IG,Vulcan Industrial Contractors Inc,-,-,Jefferson,AL
467.425,IG,Birmingham Zoo Inc.,-,-,Jefferson,AL
467.4625,IG,The Country Club Of Birmingham,-,-,Jefferson,AL
467.4875,IG,The Country Club Of Birmingham,-,-,Jefferson,AL
467.5,IG,US Pipe and Foundry - Operations,-,-,Jefferson,AL
467.75,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
467.775,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
467.825,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
467.875,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
467.925,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
468.2,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
468.2125,IG,Shades Mt Baptist Church,-,-,Jefferson,AL
468.225,IG,The Altamont School,-,-,Jefferson,AL
468.2375,IG,Country Club Of Birmingham,-,-,Jefferson,AL
468.25,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
468.35,YG,Alabama Power Company,-,-,Jefferson,AL
468.375,IG,Precoat Metals,-,-,Jefferson,AL
468.4125,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
468.475,IG,Samford University,-,-,Jefferson,AL
468.4875,IG,Shades Mt Baptist Church,-,-,Jefferson,AL
468.5125,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
468.525,IG,Crimson Oak Grove Resources Llc,-,-,Jefferson,AL
468.55,IG,Alabama Splash Adventure,-,-,Jefferson,AL
468.5875,IG,Southern Progress Corporation,-,-,Jefferson,AL
468.6,IG,Mccloy Implement,-,-,Jefferson,AL
468.6125,IG,Precoat Metals,-,-,Jefferson,AL
468.625,YG,Bear Communications Inc,-,-,Jefferson,AL
468.6375,IG,Glenwood Inc,-,-,Jefferson,AL
468.65,IG,Miles College,-,-,Jefferson,AL
468.7,IG,Alabama Splash Adventure,-,-,Jefferson,AL
468.725,IG,Sheraton Civic Center Hotel Birmingham,-,-,Jefferson,AL
468.7625,IG,Coca Cola Bottling Company,-,-,Jefferson,AL
468.775,IG,Transload Llc,-,-,Jefferson,AL
468.7875,YG,Glasforms Inc.,-,-,Jefferson,AL
468.8,IG,Reeve Electric Co,-,-,Jefferson,AL
468.8125,IG,Dolgencorp Llc,-,-,Jefferson,AL
468.85,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
468.875,IG,Modular Lng Holdings Inc,-,-,Jefferson,AL
468.925,IG,Piggly Wiggly Alabama Distribution Co.,-,-,Jefferson,AL
468.9375,IG,Precoat Metals,-,-,Jefferson,AL
468.95,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
468.9625,IG,Alabama Power Company,-,-,Jefferson,AL
469.0125,IG,Dean Foods,-,-,Jefferson,AL
469.0375,IG,The Altamont School,-,-,Jefferson,AL
469.05,YG,Kamtek,-,-,Jefferson,AL
469.075,IG,Dolgencorp Llc,-,-,Jefferson,AL
469.0875,IG,Cache Valley Electric,-,-,Jefferson,AL
469.1,IG,Alabama Splash Adventure,-,-,Jefferson,AL
469.1125,IG,The Altamont School,-,-,Jefferson,AL
469.175,YG,Blox Llc,-,-,Jefferson,AL
469.1875,IG,The Altamont School,-,-,Jefferson,AL
469.2125,IG,Piggly Wiggly Alabama Distribution Co.,-,-,Jefferson,AL
469.2375,IG,Piggly Wiggly Alabama Distribution Co.,-,-,Jefferson,AL
469.25,IG,Evonik Corporation Birmingham Labs,-,-,Jefferson,AL
469.275,IG,Blue Cross Blue Shield Of Alabama,-,-,Jefferson,AL
469.2875,IG,Fairfield Southern Company Llc,-,-,Jefferson,AL
469.325,IG,Valley Creek Wwtp,-,-,Jefferson,AL
469.3625,IG,Hoar Construction,-,-,Jefferson,AL
469.375,IG,Transload Llc,-,-,Jefferson,AL
469.3875,IG,Southwest Airlines Co,-,-,Jefferson,AL
469.4,YG,Blox Llc,-,-,Jefferson,AL
469.425,IG,Hunter Street Baptist Church,-,-,Jefferson,AL
469.45,YG,Southland Tube,-,-,Jefferson,AL
469.475,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
469.5,IG,Omi Refractories Llc Dba Bisco Refractories,-,-,Jefferson,AL
469.575,YG,Southland Tube,-,-,Jefferson,AL
469.625,IG,Piggly Wiggly Alabama Distribution Co.,-,-,Jefferson,AL
469.6375,YG,Bear Communications Inc,-,-,Jefferson,AL
469.65,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
469.6875,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
469.725,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
469.75,IG,Federal Express Corporation,-,-,Jefferson,AL
469.7625,YG,Southland Tube,-,-,Jefferson,AL
469.7875,YG,Southland Tube,-,-,Jefferson,AL
469.8,IG,Sheraton Civic Center Hotel Birmingham,-,-,Jefferson,AL
469.875,IG,Sunbelt Golf Corporation,-,-,Jefferson,AL
469.9375,IG,Nucor Steel Birmingham,-,-,Jefferson,AL
469.95,YG,Bear Communications Inc,-,-,Jefferson,AL
469.9625,IG,Glenwood Inc,-,-,Jefferson,AL
469.975,IG,Glenwood Inc,-,-,Jefferson,AL
771.06875,SY,Sterrett (Signal Mountain),-,-,Jefferson,AL
771.54375,SY,Sterrett (Signal Mountain),-,-,Jefferson,AL
771.79375,SY,Sterrett (Signal Mountain),-,-,Jefferson,AL
772.24375,SY,Sterrett (Signal Mountain),-,-,Jefferson,AL
772.54375,SY,Sterrett (Signal Mountain),-,-,Jefferson,AL
772.91875,SY,Sterrett (Signal Mountain),-,-,Jefferson,AL
774.15625,SY,Hoover (Municipal),-,-,Jefferson,AL
774.71875,SY,Helena,-,-,Jefferson,AL
774.90625,SY,Hoover (Municipal),-,-,Jefferson,AL
810.9375,GO,Bp America Production Company,-,-,Jefferson,AL
851.0875,YE,Gilmore,-,-,Jefferson,AL
851.2,YE,Gilmore,-,-,Jefferson,AL
851.3125,YE,Gilmore,-,-,Jefferson,AL
851.5875,YE,Gilmore,-,-,Jefferson,AL
851.8375,YE,Gilmore,-,-,Jefferson,AL
852.1125,YE,Gilmore,-,-,Jefferson,AL
852.1625,YE,Gilmore,-,-,Jefferson,AL
852.5625,YE,Gilmore,-,-,Jefferson,AL
852.725,YE,Gilmore,-,-,Jefferson,AL
853.0625,YE,Warrior,-,-,Jefferson,AL
853.75,YE,Gilmore,-,-,Jefferson,AL
855.9375,GO,Bp America Production Company,-,-,Jefferson,AL
857.6125,GM,"Iota Spectrum Holdings, LLC",-,-,Jefferson,AL
858.6125,YX,Southern Company,-,-,Jefferson,AL
858.7875,YX,Southern Company,-,-,Shelby,AL
858.8125,YX,Southern Company,-,-,Shelby,AL
858.8375,YX,Southern Company,-,-,Jefferson,AL
858.8625,YX,Southern Communications Services,-,-,Jefferson,AL
858.8875,YX,Southern Company,-,-,Shelby,AL
858.9125,YX,Southern Company,-,-,Shelby,AL
859.2875,YX,Southern Company,-,-,Shelby,AL
859.3375,YX,Southern Company,-,-,Shelby,AL
859.3625,YX,Southern Company,-,-,Jefferson,AL
859.3875,YX,Southern Company,-,-,Jefferson,AL
859.6125,YX,Southern Company,-,-,Jefferson,AL
859.7875,YX,Southern Communications Services,-,-,Jefferson,AL
859.8125,YX,Southern Communications Services,-,-,Jefferson,AL
859.8375,YX,Southern Communications Services,-,-,Jefferson,AL
859.8875,YX,Southern Communications Services,-,-,Jefferson,AL
859.9125,YX,Southern Communications Services,-,-,Jefferson,AL
860.2875,YX,Southern Company,-,-,Jefferson,AL
860.3375,YX,Southern Company,-,-,Jefferson,AL
860.3625,YX,Southern Company,-,-,Tuscaloosa,AL
860.3875,YX,Southern Communications Services,-,-,Jefferson,AL
860.6125,YX,Southern Company,-,-,Jefferson,AL
860.7875,YX,Southern Communications Services,-,-,Jefferson,AL
860.8125,YX,Southern Communications Services,-,-,Jefferson,AL
902.25,LN,Bnsf Railway Co.,-,-,Jefferson,AL
903.75,LN,Bnsf Railway Co.,-,-,Jefferson,AL
910,LN,Norfolk Southern Railway Company,-,-,Jefferson,AL
911.5,LN,Bnsf Railway Co.,-,-,Jefferson,AL
912,LN,Bnsf Railway,-,-,Jefferson,AL
914,LN,Bnsf Railway,-,-,Jefferson,AL
915,LN,Csx Transportation Inc,-,-,Marengo,AL
918.5,LN,Csx Transportation Inc,-,-,Marengo,AL
920,LN,Csx Transportation Inc,-,-,Montgomery,AL
927.2875,LN,KE4CAA Ana - HAM,-,-,Jefferson,AL
929.8875,GS,Ams Spectrum Holdings Llc,-,-,Montgomery,AL
931.5875,CD,"	AMS Spectrum Holdings, LLC",-,-,Jefferson,AL
944,AS,"RADIO LICENSE HOLDING CBC, LLC",-,-,Jefferson,AL
944.5,AS,"RADIO LICENSE HOLDING CBC, LLC",-,-,Jefferson,AL
